,name,rating,genre,rating_count,duration,description
102,North by Northwest,8.3,"Action, Adventure, Mystery",351225,2H16M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
103,Citizen Kane,8.3,"Drama, Mystery",471480,1H59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;"
104,Double Indemnity,8.3,"Crime, Drama, Film-Noir",170065,1H47M,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
105,Oppenheimer,8.3,"Biography, Drama, History",802479,3H,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
106,M - Eine Stadt sucht einen Mörder,8.3,"Crime, Mystery, Thriller",171444,1H39M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
107,Vertigo,8.3,"Mystery, Romance, Thriller",434782,2H8M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
108,Heat,8.3,"Action, Crime, Drama",733052,2H50M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
109,Full Metal Jacket,8.2,"Drama, War",803295,1H56M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
110,Le fabuleux destin d&apos;Amélie Poulain,8.3,"Comedy, Romance",804200,2H2M,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
111,Up,8.3,"Animation, Adventure, Comedy",1148013,1H36M,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
112,A Clockwork Orange,8.2,"Crime, Sci-Fi",893442,2H16M,Alex DeLarge and his droogs barbarize a decaying near-future.
113,To Kill a Mockingbird,8.3,"Crime, Drama",337120,2H9M,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
114,Jodaeiye Nader az Simin,8.3,Drama,262391,2H3M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.
115,The Sting,8.3,"Comedy, Crime, Drama",283664,2H9M,Two grifters team up to pull off the ultimate con.
116,Die Hard,8.2,"Action, Thriller",959987,2H12M,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
117,Indiana Jones and the Last Crusade,8.2,"Action, Adventure",821878,2H7M,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
118,Taare Zameen Par,8.3,"Drama, Family",210809,2H42M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
119,Metropolis,8.3,"Drama, Sci-Fi",188658,2H33M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
120,Snatch,8.2,"Comedy, Crime",924391,1H42M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
121,1917,8.2,"Action, Drama, History",697639,1H59M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
122,L.A. Confidential,8.2,"Crime, Drama, Mystery",626385,2H18M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
123,Ladri di biciclette,8.3,Drama,178385,1H29M,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
124,Hamilton,8.3,"Biography, Drama, History",118446,2H40M,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
125,Der Untergang,8.2,"Biography, Drama, History",380085,2H36M,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII."
126,Taxi Driver,8.2,"Crime, Drama",942754,1H54M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
127,Dangal,8.3,"Action, Biography, Drama",216725,2H41M,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas."
128,Batman Begins,8.2,"Action, Crime, Drama",1606039,2H20M,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
129,The Wolf of Wall Street,8.2,"Biography, Comedy, Crime",1623880,3H,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
130,Per qualche dollaro in più,8.2,"Drama, Western",280090,2H12M,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.
131,Green Book,8.2,"Biography, Comedy, Drama",595828,2H10M,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
132,Some Like It Hot,8.2,"Comedy, Music, Romance",287636,2H1M,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
133,The Truman Show,8.2,"Comedy, Drama",1229490,1H43M,An insurance salesman discovers his whole life is actually a reality TV show.
134,Judgment at Nuremberg,8.3,"Drama, War",87319,2H59M,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti..."
135,The Kid,8.2,"Comedy, Drama, Family",137214,1H8M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
136,The Father,8.2,"Drama, Mystery",201087,1H37M,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
137,All About Eve,8.2,Drama,140793,2H18M,Seemingly timid but secretly ruthless ingenue Eve Harrington insinuates herself into the lives of aging Broadway star Margo Channing and her circle of theater friends in this Oscar-winning story.
138,Shutter Island,8.2,"Drama, Mystery, Thriller",1494145,2H18M,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
139,There Will Be Blood,8.2,Drama,652278,2H38M,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
140,Jurassic Park,8.2,"Action, Adventure, Sci-Fi",1088388,2H7M,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger."
141,Casino,8.2,"Crime, Drama",574889,2H58M,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
142,Top Gun: Maverick,8.2,"Action, Drama",733630,2H10M,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
143,The Sixth Sense,8.2,"Drama, Mystery, Thriller",1071579,1H47M,A child psychologist starts treating a young boy with a disturbing secret.
144,Ran,8.2,"Action, Drama, War",138873,2H40M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
145,El laberinto del fauno,8.2,"Drama, Fantasy, War",711411,1H58M,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
146,Unforgiven,8.2,"Drama, Western",442607,2H10M,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.
147,No Country for Old Men,8.2,"Crime, Drama, Thriller",1084637,2H2M,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
148,The Thing,8.2,"Horror, Mystery, Sci-Fi",478872,1H49M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
149,A Beautiful Mind,8.2,"Biography, Drama, Mystery",1001380,2H15M,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery."
150,Kill Bill: Vol. 1,8.2,"Action, Crime, Thriller",1217955,1H51M,"After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
151,The Treasure of the Sierra Madre,8.2,"Adventure, Drama, Western",134191,2H6M,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
